,Borough,Neighborhood,Building_Class_Category,Tax Class At Present,Block,Lot,Ease-Ment,Building Class At Present,address,Apartment Number,Zip Code,Residential_Units,Commercial_Units,Total Units,Land_Square_Feet,Gross Square Feet,Year Built,Tax_Class_At_Time_Of_Sale,Building_Class_At_Time_Of_Sale,Sale_Price,sale date,latitude,longitude
7103,3,BUSHWICK,08 RENTALS - ELEVATOR APARTMENTS,2,3234,52,,D6,1351 DEKALB AVENUE,,11221,27,1,28,"2,907","8,684",2019,2,D6,12541330.00,8/26/2022,40.6988438,-73.9250015
7104,3,BUSHWICK,08 RENTALS - ELEVATOR APARTMENTS,2,3274,2,,D1,340 EVERGREEN AVENUE,,11221,168,0,168,"34,603","133,497",2019,2,D1,0.00,3/14/2022,40.6943917,-73.9249056
7105,3,BUSHWICK,08 RENTALS - ELEVATOR APARTMENTS,2,3274,101,,D1,889 BUSHWICK AVENUE,,11221,54,0,54,"11,801","37,405",2018,2,D1,0.00,3/14/2022,40.6938402,-73.9252163
7106,3,BUSHWICK,08 RENTALS - ELEVATOR APARTMENTS,2,3321,28,,D7,1010 BUSHWICK AVENUE,,11221,13,1,14,"5,400","20,191",2018,2,D7,11697144.00,8/26/2022,40.6913267,-73.9221504
7107,3,BUSHWICK,08 RENTALS - ELEVATOR APARTMENTS,2,3349,11,,D1,58 PALMETTO STREET,,11221,27,0,27,"7,499","20,835",2019,2,D1,15585897.00,9/6/2022,40.6907456,-73.919306
7108,3,BUSHWICK,08 RENTALS - ELEVATOR APARTMENTS,2,3368,55,,D5,1223 PUTNAM AVENUE,,11221,18,0,18,"6,000","16,329",1931,2,D5,9000000.00,4/1/2022,40.6914046,-73.9158579
7109,3,BUSHWICK,08 RENTALS - ELEVATOR APARTMENTS,2,3369,6,,D3,431 CENTRAL AVENUE,,11221,17,0,17,"5,400","14,955",2017,2,D3,9990397.00,8/26/2022,40.6926008,-73.9150522
7161,3,BUSHWICK,14 RENTALS - 4-10 UNIT,2A,3150,28,,S9,582 BUSHWICK AVENUE,,11206,4,2,6,"2,629","4,200",1931,2,S9,0.00,1/26/2023,40.6986826,-73.9352979
7162,3,BUSHWICK,14 RENTALS - 4-10 UNIT,2A,3158,30,,S4,152 KNICKERBOCKER AVENUE,,11237,4,1,5,"2,500","4,875",1931,2,S4,0.00,5/27/2022,40.7041487,-73.928238
7163,3,BUSHWICK,14 RENTALS - 4-10 UNIT,2A,3165,7,,S4,51 WILSON AVENUE,,11237,4,1,5,"2,500","4,125",1931,2,S4,0.00,5/27/2022,40.7026943,-73.9287084
7164,3,BUSHWICK,14 RENTALS - 4-10 UNIT,2A,3171,11,,S9,4 STANWIX STREET,,11206,4,2,6,"1,822","3,744",1931,2,S9,2370000.00,5/3/2022,40.6983962,-73.9335671
7165,3,BUSHWICK,14 RENTALS - 4-10 UNIT,2A,3219,16,,S4,228 SUYDAM STREET,,11237,4,1,5,"2,499","4,200",1931,2,S4,2300000.00,8/1/2022,40.7010063,-73.9244653
7166,3,BUSHWICK,14 RENTALS - 4-10 UNIT,2A,3235,6,,S4,167 WILSON AVENUE,,11237,4,1,5,"2,500","4,125",1931,2,S4,0.00,4/12/2022,40.7000866,-73.9241346
7168,3,BUSHWICK,14 RENTALS - 4-10 UNIT,2B,3252,35,,S5,854 BUSHWICK AVENUE,,11221,6,1,7,"1,985","7,040",1931,2,S5,3250000.00,6/29/2022,40.693973,-73.9268137
7171,3,BUSHWICK,14 RENTALS - 4-10 UNIT,2A,3258,4,,S4,373 KNICKERBOCKER AVENUE,,11237,4,1,5,"2,500","4,900",1931,2,S4,2066667.00,2/16/2022,40.7006225,-73.9210396
7172,3,BUSHWICK,14 RENTALS - 4-10 UNIT,2B,3317,20,,S5,248 MENAHAN STREET,,11237,6,1,7,"4,000","10,420",1993,2,S5,3500000.00,2/10/2022,40.6986758,-73.9162057
7173,3,BUSHWICK,14 RENTALS - 4-10 UNIT,2B,3317,41,,S5,301 GROVE STREET,,11237,6,1,7,"2,625","6,500",1931,2,S5,2000000.00,2/10/2022,40.6984889,-73.9159283
7175,3,BUSHWICK,14 RENTALS - 4-10 UNIT,2A,3323,39,,S9,364 CENTRAL AVENUE,,11221,4,2,6,"2,500","4,875",1931,2,S9,0.00,5/13/2022,40.6943548,-73.9191069
7177,3,BUSHWICK,14 RENTALS - 4-10 UNIT,2A,3385,1,,S5,709 KNICKERBOCKER AVENUE,,11221,5,1,6,"2,090","5,280",1907,2,S5,0.00,1/11/2023,40.694502,-73.9102969
7178,3,BUSHWICK,14 RENTALS - 4-10 UNIT,2A,3419,17,,S4,316 ELDERT STREET,,11237,4,1,5,"2,499","5,070",1912,2,S4,0.00,8/5/2022,40.692962,-73.9065883
7179,3,BUSHWICK,14 RENTALS - 4-10 UNIT,2A,3429,1,,S5,621 CENTRAL AVENUE,,11207,5,1,6,"2,499","4,875",1910,2,S5,0.00,9/15/2022,40.6885632,-73.9079286
7180,3,BUSHWICK,14 RENTALS - 4-10 UNIT,2A,3431,10,,S9,855 KNICKERBOCKER AVENUE,,11207,4,2,6,"1,500","4,050",1906,2,S9,1950000.00,5/17/2022,40.6917782,-73.9055839
7279,3,BUSHWICK,21 OFFICE BUILDINGS,4,3217,34,,O8,176 CENTRAL AVENUE,,11221,1,1,2,"3,688","6,762",1931,4,O8,5500000.00,1/6/2023,40.6987323,-73.9266642
7280,3,BUSHWICK,21 OFFICE BUILDINGS,4,3342,38,,O8,370 WILSON AVENUE,,11221,1,1,2,"1,600","2,600",1988,4,O8,1300000.00,6/6/2022,40.6948603,-73.9158968
7281,3,BUSHWICK,22 STORE BUILDINGS,4,3258,2,,K4,379 KNICKERBOCKER AVENUE,,11237,0,1,1,"2,450","5,260",1931,4,K4,2066667.00,2/16/2022,40.7005401,-73.9208918
7282,3,BUSHWICK,22 STORE BUILDINGS,4,3258,3,,K4,375 KNICKERBOCKER AVENUE,,11237,0,2,2,"2,500","5,387",1931,4,K4,2066667.00,2/16/2022,40.7005813,-73.9209675
7283,3,BUSHWICK,22 STORE BUILDINGS,4,3293,22,,K1,1275 BROADWAY,,11221,0,1,1,"11,150","10,000",1919,4,K1,6000000.00,4/12/2022,40.6913693,-73.9243284
7285,3,BUSHWICK,22 STORE BUILDINGS,4,3293,29,,K2,1289 BROADWAY,,11221,0,4,4,"15,110","16,084",1919,4,K2,9000000.00,9/13/2022,40.6911523,-73.9239464
7286,3,BUSHWICK,22 STORE BUILDINGS,4,3344,2,,K4,583 KNICKERBOCKER AVENUE,,11221,1,2,3,"4,999","6,200",1920,4,K4,3350000.00,12/1/2022,40.696709,-73.9141671
7287,3,BUSHWICK,22 STORE BUILDINGS,4,3401,60,,K1,981 HALSEY STREET,,11207,0,1,1,624,625,1925,4,K1,580000.00,11/16/2022,40.6859859,-73.9151544
7288,3,BUSHWICK,22 STORE BUILDINGS,4,3401,60,,K1,981 HALSEY STREET,,11207,0,1,1,625,625,1925,4,K1,265000.00,4/13/2022,40.6859859,-73.9151544
7289,3,BUSHWICK,27 FACTORIES,4,3196,43,,F5,1073 WILLOUGHBY AVENUE,,11221,1,1,2,"2,499","2,250",1932,4,F5,950000.00,9/29/2022,40.700437,-73.9269039
7291,3,BUSHWICK,27 FACTORIES,4,3446,37,,F5,698 CENTRAL AVENUE,,11207,0,1,1,"15,000","15,000",1931,4,F5,5750000.00,7/15/2022,40.6869232,-73.906211
7293,3,BUSHWICK,30 WAREHOUSES,4,3162,12,,E1,106 MELROSE STREET,,11206,0,1,1,"2,500","4,375",2002,4,E1,2700000.00,3/21/2022,40.6991372,-73.9333897
7294,3,BUSHWICK,30 WAREHOUSES,4,3162,13,,E1,108 MELROSE STREET,,11206,0,1,1,"2,500","4,375",2002,4,E1,2700000.00,3/21/2022,40.69917,-73.9333103
7295,3,BUSHWICK,30 WAREHOUSES,4,3230,6,,E9,24 DODWORTH STREET,,11221,2,1,3,"4,575","5,170",1931,4,E9,0.00,4/11/2022,40.694886,-73.9296615
7300,3,BUSHWICK,37 RELIGIOUS FACILITIES,4,3264,36,,M3,15 HIMROD STREET,,11221,0,0,0,"3,460","2,448",1931,4,M3,0.00,3/19/2022,40.6944691,-73.9256988
7301,3,BUSHWICK,38 ASYLUMS AND HOMES,4,3274,1,,N3,871 BUSHWICK AVENUE,,11221,113,1,114,"24,965","128,957",1954,4,N3,0.00,3/14/2022,,
7302,3,BUSHWICK,38 ASYLUMS AND HOMES,4,3274,1,,N3,871 BUSHWICK AVENUE,,11221,113,1,114,"24,965","128,957",1954,4,N3,0.00,3/14/2022,40.6941419,-73.9248481
7303,3,BUSHWICK,41 TAX CLASS 4 - OTHER,4,3163,100,,Z9,60 CENTRAL AVENUE,,11206,0,0,0,"45,400",0,,4,Z9,0.00,12/28/2022,40.7010298,-73.9312347
7304,3,BUSHWICK,41 TAX CLASS 4 - OTHER,4,3230,8,,Z9,28 DODWORTH STREET,,11221,0,1,1,"2,300","1,250",2000,4,Z9,0.00,4/11/2022,,
7305,3,BUSHWICK,41 TAX CLASS 4 - OTHER,4,3447,16,,Z9,194 MOFFAT STREET,,11207,0,0,0,"1,600",0,,4,Z9,550000.00,4/28/2022,40.6878643,-73.9057409
7306,3,BUSHWICK,41 TAX CLASS 4 - OTHER,4,3447,17,,Z9,194A MOFFAT STREET,,11207,0,0,0,"1,600",0,,4,Z9,550000.00,4/28/2022,40.6878999,-73.9057048
7319,3,CANARSIE,01 ONE FAMILY DWELLINGS,1,4712,7,,A5,9111 AVENUE A,,11236,1,0,1,"2,300","1,891",1930,1,A5,300000.00,8/19/2022,40.652062,-73.9172409
7321,3,CANARSIE,01 ONE FAMILY DWELLINGS,1,4756,8,,A5,9601 AVENUE B,,11236,1,0,1,"2,400","2,340",1945,1,A5,750000.00,2/9/2022,40.6526921,-73.9119028
7324,3,CANARSIE,01 ONE FAMILY DWELLINGS,1,7908,91,,A5,247 DORSET STREET,,11236,1,0,1,"1,440",864,1945,1,A5,590000.00,3/25/2022,40.6464637,-73.9187037
7329,3,CANARSIE,01 ONE FAMILY DWELLINGS,1,7911,37,,A5,8616 AVENUE B,,11236,1,0,1,"3,079","1,767",1945,1,A5,505000.00,6/21/2022,40.6476823,-73.9185617
7330,3,CANARSIE,01 ONE FAMILY DWELLINGS,1,7911,38,,A5,8618 AVENUE B,,11236,1,0,1,"3,079","1,767",1945,1,A5,590000.00,1/17/2023,40.6477234,-73.9185004
7335,3,CANARSIE,01 ONE FAMILY DWELLINGS,1,7964,96,,A5,598 EAST 86 STREET,,11236,1,0,1,"1,800","1,296",1960,1,A5,0.00,5/20/2022,40.6415682,-73.9128399
7336,3,CANARSIE,01 ONE FAMILY DWELLINGS,1,7968,56,,A1,8919 BEDELL LANE,,11236,1,0,1,"1,891","1,200",1925,1,A1,550000.00,12/19/2022,40.6440313,-73.9105809
7341,3,CANARSIE,01 ONE FAMILY DWELLINGS,1,7993,46,,A2,8811 BAY VIEW AVENUE,,11236,1,0,1,"3,744","1,000",1935,1,A2,0.00,8/24/2022,40.6419859,-73.9099639
7342,3,CANARSIE,01 ONE FAMILY DWELLINGS,1,7993,46,,A2,8811 BAY VIEW AVENUE,,11236,1,0,1,"3,745","1,000",1935,1,A2,0.00,5/9/2022,40.6419859,-73.9099639
7344,3,CANARSIE,01 ONE FAMILY DWELLINGS,1,8004,6,,S1,8311 FLATLANDS AVENUE,,11236,1,1,2,"2,700","2,100",1930,1,S1,350000.00,2/28/2022,40.637348,-73.9109646
7345,3,CANARSIE,01 ONE FAMILY DWELLINGS,1,8024,38,,A2,8706 FLATLANDS AVENUE,,11236,1,0,1,"4,049",888,1940,1,A2,0.00,9/23/2022,40.638781,-73.9077019
7346,3,CANARSIE,01 ONE FAMILY DWELLINGS,1,8024,61,,A2,948 EAST 88 STREET,,11236,1,0,1,"2,399",983,1930,1,A2,630000.00,6/10/2022,40.6381405,-73.9065714
7349,3,CANARSIE,01 ONE FAMILY DWELLINGS,1,8029,9,,A1,14 PAERDEGAT 1 STREET,,11236,1,0,1,"2,600","1,440",1970,1,A1,0.00,2/16/2022,40.6322028,-73.9126108
7350,3,CANARSIE,01 ONE FAMILY DWELLINGS,1,8029,17,,A5,38 PAERDEGAT 1 STREET,,11236,1,0,1,"2,600","1,440",1970,1,A5,10.00,6/10/2022,40.6326966,-73.9122282
7351,3,CANARSIE,01 ONE FAMILY DWELLINGS,1,8030,30,,A5,60 PAERDEGAT 2 STREET,,11236,1,0,1,"2,600","1,980",1965,1,A5,0.00,5/13/2022,40.6327423,-73.9110897
7353,3,CANARSIE,01 ONE FAMILY DWELLINGS,1,8047,13,,A5,1169 EAST 81 STREET,,11236,1,0,1,"1,600","1,120",1955,1,A5,600000.00,12/13/2022,40.6315892,-73.907211
7357,3,CANARSIE,01 ONE FAMILY DWELLINGS,1,8056,47,,A5,33 PAERDEGAT 7 STREET,,11236,1,0,1,"2,600","1,870",1965,1,A5,670000.00,9/14/2022,40.6305523,-73.907933
7358,3,CANARSIE,01 ONE FAMILY DWELLINGS,1,8056,56,,A5,11 PAERDEGAT 7 STREET,,11236,1,0,1,"2,600","1,870",1965,1,A5,670000.00,12/13/2022,40.6301216,-73.908265
7361,3,CANARSIE,01 ONE FAMILY DWELLINGS,1,8065,50,,A2,1224 EAST 87 STREET,,11236,1,0,1,"3,332","1,058",1935,1,A2,415740.00,9/23/2022,40.6332815,-73.9023989
7366,3,CANARSIE,01 ONE FAMILY DWELLINGS,1,8071,20,,A5,41 PAERDEGAT 13 STREET,,11236,1,0,1,"3,067","2,052",1965,1,A5,0.00,6/2/2022,40.6285663,-73.9027768
7367,3,CANARSIE,01 ONE FAMILY DWELLINGS,1,8071,20,,A5,41 PAERDEGAT 13 STREET,,11236,1,0,1,"3,067","2,052",1965,1,A5,749000.00,4/18/2022,40.6285663,-73.9027768
7368,3,CANARSIE,01 ONE FAMILY DWELLINGS,1,8078,39,,A9,8702 AVENUE M,,11236,1,0,1,"2,199","1,104",1960,1,A9,670000.00,6/9/2022,40.6321436,-73.9005595
7369,3,CANARSIE,01 ONE FAMILY DWELLINGS,1,8079,39,,A9,8802 AVENUE M,,11236,1,0,1,"2,200","1,024",1960,1,A9,646500.00,4/28/2022,40.6326123,-73.8998419
7370,3,CANARSIE,01 ONE FAMILY DWELLINGS,1,8082,3,,A5,8508 AVENUE N,,11236,1,0,1,"1,799","1,152",1960,1,A5,0.00,1/20/2023,40.6296701,-73.900048
7371,3,CANARSIE,01 ONE FAMILY DWELLINGS,1,8086,139,,A5,8914 AVENUE N,,11236,1,0,1,"1,799","1,838",1960,1,A5,0.00,8/29/2022,40.6316025,-73.8970332
7372,3,CANARSIE,01 ONE FAMILY DWELLINGS,1,8109,32,,A5,9106 AVENUE B,,11236,1,0,1,"2,300","1,921",1940,1,A5,0.00,3/28/2022,40.6499497,-73.9151534
7375,3,CANARSIE,01 ONE FAMILY DWELLINGS,1,8124,95,,A2,9018 KRIER PLACE,,11236,1,0,1,"2,000",640,1925,1,A2,0.00,11/15/2022,40.6455824,-73.9110329
7383,3,CANARSIE,01 ONE FAMILY DWELLINGS,1,8143,73,,A1,9305 FARRAGUT ROAD,,11236,1,0,1,"2,417","1,105",1920,1,A1,0.00,8/24/2022,40.6449288,-73.9071024
7384,3,CANARSIE,01 ONE FAMILY DWELLINGS,1,8144,69,,A1,9405 FARRAGUT ROAD,,11236,1,0,1,"2,396","1,440",1925,1,A1,680000.00,2/25/2022,40.6453866,-73.9063847
7389,3,CANARSIE,01 ONE FAMILY DWELLINGS,1,8180,39,,A2,9224 GLENWOOD ROAD,,11236,1,0,1,"2,499","1,487",1950,1,A2,647500.00,8/1/2022,40.6427482,-73.9055524
7392,3,CANARSIE,01 ONE FAMILY DWELLINGS,1,8182,62,,S1,114 CONKLIN AVENUE,,11236,1,1,2,"2,350","2,484",1925,1,S1,830000.00,4/22/2022,40.6427765,-73.9032966
7393,3,CANARSIE,01 ONE FAMILY DWELLINGS,1,8187,53,,A2,289 CONKLIN AVENUE,,11236,1,0,1,"1,989",900,1925,1,A2,505000.00,6/17/2022,40.6458281,-73.8994472
7394,3,CANARSIE,01 ONE FAMILY DWELLINGS,1,8199,5,,A5,9111 AVENUE J,,11236,1,0,1,"2,116","1,782",1960,1,A5,710000.00,9/20/2022,40.6394224,-73.9032871
7398,3,CANARSIE,01 ONE FAMILY DWELLINGS,1,8202,53,,A1,1182 EAST 95 STREET,,11236,1,0,1,"2,500","1,298",1915,1,A1,720000.00,5/13/2022,40.6418668,-73.9019359
7399,3,CANARSIE,01 ONE FAMILY DWELLINGS,1,8204,56,,A1,1546 ROCKAWAY PARKWAY,,11236,1,0,1,"2,733","1,331",1930,1,A1,763980.00,10/13/2022,40.642793,-73.9001365
7400,3,CANARSIE,01 ONE FAMILY DWELLINGS,1,8204,58,,A1,1550 ROCKAWAY PARKWAY,,11236,1,0,1,"2,125",940,1930,1,A1,675000.00,3/18/2022,40.6427326,-73.9000681
7401,3,CANARSIE,01 ONE FAMILY DWELLINGS,1,8213,123,,A5,947 EAST 105 STREET,,11236,1,0,1,"1,575","1,224",1960,1,A5,0.00,4/19/2022,40.6468054,-73.8934855
7407,3,CANARSIE,01 ONE FAMILY DWELLINGS,1,8234,49,,A5,10557 AVENUE K,,11236,1,0,1,"2,550","1,600",1965,1,A5,0.00,1/23/2023,40.6453856,-73.8897653
7409,3,CANARSIE,01 ONE FAMILY DWELLINGS,1,8234,66,,A5,10517 AVENUE K,,11236,1,0,1,"2,000","1,552",1965,1,A5,720000.00,6/7/2022,40.6447443,-73.8907537
7414,3,CANARSIE,01 ONE FAMILY DWELLINGS,1,8244,6,,A2,9807 AVENUE L,,11236,1,0,1,"2,469",820,1925,1,A2,0.00,6/21/2022,40.639719,-73.8941562
7416,3,CANARSIE,01 ONE FAMILY DWELLINGS,1,8246,45,,A5,1114 EAST 101 STREET,,11236,1,0,1,"1,656","2,052",1955,1,A5,5499.00,11/1/2022,40.6418815,-73.8937996
7419,3,CANARSIE,01 ONE FAMILY DWELLINGS,1,8262,29,,A9,1773 ROCKAWAY PARKWAY,,11236,1,0,1,"2,379","1,098",1925,1,A9,0.00,6/17/2022,40.6385995,-73.8946119
7420,3,CANARSIE,01 ONE FAMILY DWELLINGS,1,8265,3,,A2,10017 AVENUE M,,11236,1,0,1,"3,999",977,1955,1,A2,0.00,8/10/2022,40.6391065,-73.890781
7423,3,CANARSIE,01 ONE FAMILY DWELLINGS,1,8265,62,,A5,1252 EAST 101 STREET,,11236,1,0,1,"2,600","1,080",1955,1,A5,720000.00,12/19/2022,40.6395845,-73.8912702
7424,3,CANARSIE,01 ONE FAMILY DWELLINGS,1,8266,54,,A9,1220 EAST 102 STREET,,11236,1,0,1,"3,999","1,528",1960,1,A9,520000.00,7/8/2022,40.6406083,-73.8911785
7427,3,CANARSIE,01 ONE FAMILY DWELLINGS,1,8269,13,,A5,1269 EAST 104 STREET,,11236,1,0,1,"2,600","1,080",1960,1,A5,597500.00,12/14/2022,40.6409678,-73.8882592
7429,3,CANARSIE,01 ONE FAMILY DWELLINGS,1,8273,34,,A5,10831 AVENUE N,,11236,1,0,1,"3,839","1,840",1965,1,A5,0.00,7/22/2022,40.6413687,-73.8829185
7431,3,CANARSIE,01 ONE FAMILY DWELLINGS,1,8273,55,,A5,10832 FLATLANDS 8 STREET,,11236,1,0,1,"2,651","1,700",1965,1,A5,0.00,8/4/2022,40.6416515,-73.8830369
7436,3,CANARSIE,01 ONE FAMILY DWELLINGS,1,8284,3,,A1,10017 AVENUE N,,11236,1,0,1,"1,241","1,020",1910,1,A1,615000.00,3/11/2022,40.6374523,-73.8889281
7437,3,CANARSIE,01 ONE FAMILY DWELLINGS,1,8285,63,,A1,1346 EAST 102 STREET,,11236,1,0,1,"4,166","1,416",1960,1,A1,580000.00,11/9/2022,40.638509,-73.8888471
7444,3,CANARSIE,01 ONE FAMILY DWELLINGS,1,8300,40,,S1,1939 ROCKAWAY PARKWAY,,11236,1,1,2,"1,519","1,620",1930,1,S1,600000.00,11/21/2022,40.6354177,-73.8910428
7447,3,CANARSIE,01 ONE FAMILY DWELLINGS,1,8307,33,,A5,1417 EAST 104 STREET,,11236,1,0,1,"2,125","1,440",1960,1,A5,0.00,4/8/2022,40.6386267,-73.8856617
7449,3,CANARSIE,01 ONE FAMILY DWELLINGS,1,8309,70,,A1,10521 FLATLANDS 10 STREET,,11236,1,0,1,"3,999","1,380",1960,1,A1,0.00,10/31/2022,40.6388226,-73.8839318
7450,3,CANARSIE,01 ONE FAMILY DWELLINGS,1,8310,1,,A5,10504 FLATLANDS 10 STREET,,11236,1,0,1,"2,600","1,528",1950,1,A5,0.00,2/25/2022,40.6382078,-73.8840446
7458,3,CANARSIE,02 TWO FAMILY DWELLINGS,1,4709,30,,B3,941 RALPH AVENUE,,11236,2,0,2,"2,000","2,210",1940,1,B3,0.00,3/2/2022,40.6515207,-73.9203085
7465,3,CANARSIE,02 TWO FAMILY DWELLINGS,1,4714,1,,B3,9323 AVENUE A,,11236,2,0,2,"2,399","2,640",1940,1,B3,350000.00,6/21/2022,40.6531559,-73.9155565
7466,3,CANARSIE,02 TWO FAMILY DWELLINGS,1,4714,1,,B3,9323 AVENUE A,,11236,2,0,2,"2,399","2,640",1940,1,B3,849000.00,9/29/2022,40.6531559,-73.9155565
7471,3,CANARSIE,02 TWO FAMILY DWELLINGS,1,4747,36,,B3,8702 AVENUE A,,11236,2,0,2,"2,399","2,142",1940,1,B3,0.00,12/20/2022,40.6496211,-73.9200152
7475,3,CANARSIE,02 TWO FAMILY DWELLINGS,1,4749,20,,B3,149 EAST 89 STREET,,11236,2,0,2,"2,192","1,627",1935,1,B3,695000.00,5/17/2022,40.6498527,-73.9176329
7476,3,CANARSIE,02 TWO FAMILY DWELLINGS,1,4749,66,,B1,700 REMSEN AVENUE,,11236,2,0,2,"2,199","2,058",1935,1,B1,0.00,12/10/2022,40.6499842,-73.9172832
7477,3,CANARSIE,02 TWO FAMILY DWELLINGS,1,4749,66,,B1,700 REMSEN AVENUE,,11236,2,0,2,"2,199","2,058",1935,1,B1,875000.00,11/3/2022,40.6499842,-73.9172832
7483,3,CANARSIE,02 TWO FAMILY DWELLINGS,1,4756,53,,B1,616 ROCKAWAY PARKWAY,,11236,2,0,2,"1,429","2,180",1945,1,B1,800000.00,6/15/2022,40.6537849,-73.9124383
7484,3,CANARSIE,02 TWO FAMILY DWELLINGS,1,4756,54,,B3,618 ROCKAWAY PARKWAY,,11236,2,0,2,"2,200","2,400",1945,1,B3,10.00,4/28/2022,40.6537437,-73.9123915
7485,3,CANARSIE,02 TWO FAMILY DWELLINGS,1,7908,32,,B1,1193 RALPH AVENUE,,11236,2,0,2,"2,096","2,170",1950,1,B1,0.00,6/17/2022,40.6470464,-73.9198742
7486,3,CANARSIE,02 TWO FAMILY DWELLINGS,1,7911,31,,B1,8602 AVENUE B,,11236,2,0,2,"2,166","3,206",1945,1,B1,0.00,7/18/2022,40.6475288,-73.9189114
7502,3,CANARSIE,02 TWO FAMILY DWELLINGS,1,7965,5,,B1,8615 FARRAGUT ROAD,,11236,2,0,2,"2,160","1,566",1965,1,B1,0.00,12/27/2022,40.6417899,-73.9120181
7510,3,CANARSIE,02 TWO FAMILY DWELLINGS,1,7982,165,,B1,640 EAST 78 STREET,,11236,2,0,2,"2,199","2,156",1960,1,B1,0.00,6/24/2022,40.6369551,-73.9178289
7514,3,CANARSIE,02 TWO FAMILY DWELLINGS,1,7985,61,,B1,648 EAST 81 STREET,,11236,2,0,2,"2,458","2,250",1960,1,B1,950000.00,4/22/2022,40.6381445,-73.9152801
7518,3,CANARSIE,02 TWO FAMILY DWELLINGS,1,7987,38,,B1,618 EAST 83 STREET,,11236,2,0,2,"2,000","1,800",1960,1,B1,0.00,4/14/2022,40.6395986,-73.9144351
7522,3,CANARSIE,02 TWO FAMILY DWELLINGS,1,7989,1,,B2,8421 GLENWOOD ROAD,,11236,2,0,2,"3,600","1,830",1920,1,B2,0.00,5/26/2022,40.6394373,-73.9116536
7527,3,CANARSIE,02 TWO FAMILY DWELLINGS,1,7990,5,,B2,8517 GLENWOOD ROAD,,11236,2,0,2,"3,000","1,344",1940,1,B2,725000.00,8/25/2022,40.6398294,-73.911073
7528,3,CANARSIE,02 TWO FAMILY DWELLINGS,1,7990,19,,B1,655 EAST 85 STREET,,11236,2,0,2,"2,000","1,864",1970,1,B1,611546.00,11/20/2022,40.6401867,-73.9117788
7534,3,CANARSIE,02 TWO FAMILY DWELLINGS,1,7992,34,,B1,8706 FARRAGUT ROAD,,11236,2,0,2,"2,200","2,761",1960,1,B1,650000.00,5/3/2022,40.6417068,-73.9110957
7536,3,CANARSIE,02 TWO FAMILY DWELLINGS,1,7994,46,,B2,1070 REMSEN AVENUE,,11236,2,0,2,"2,000","1,710",1930,1,B2,900000.00,8/5/2022,40.6425561,-73.9090227
7546,3,CANARSIE,02 TWO FAMILY DWELLINGS,1,8004,33,,B1,8302 GLENWOOD ROAD,,11236,2,0,2,"2,199","1,842",1960,1,B1,610000.00,7/7/2022,40.6383098,-73.9124226
7547,3,CANARSIE,02 TWO FAMILY DWELLINGS,1,8004,36,,B9,8310 GLENWOOD ROAD,,11236,2,0,2,"1,950","2,340",1960,1,B9,887250.00,11/18/2022,40.6384167,-73.9122603
7548,3,CANARSIE,02 TWO FAMILY DWELLINGS,1,8004,41,,B9,8322 GLENWOOD ROAD,,11236,2,0,2,"1,950","2,340",1960,1,B9,875000.00,7/6/2022,40.6385894,-73.9119935
7575,3,CANARSIE,02 TWO FAMILY DWELLINGS,1,8024,40,,B3,8714 FLATLANDS AVENUE,,11236,2,0,2,"4,949",842,1940,1,B3,0.00,9/23/2022,40.6388687,-73.9075648
7577,3,CANARSIE,02 TWO FAMILY DWELLINGS,1,8026,1,,B1,1284 REMSEN AVENUE,,11236,2,0,2,"3,232","1,883",1960,1,B1,887000.00,12/15/2022,40.6385176,-73.9045351
7579,3,CANARSIE,02 TWO FAMILY DWELLINGS,1,8026,42,,B2,8916 FLATLANDS AVENUE,,11236,2,0,2,"2,131","2,000",1935,1,B2,353064.00,2/10/2022,40.6398117,-73.9061186
7580,3,CANARSIE,02 TWO FAMILY DWELLINGS,1,8029,39,,B9,65 PAERDEGAT 2 STREET,,11236,2,0,2,"3,049","3,265",1965,1,B9,999999.00,10/21/2022,40.632976,-73.9115901
7582,3,CANARSIE,02 TWO FAMILY DWELLINGS,1,8031,75,,B1,19 PAERDEGAT 4 STREET,,11236,2,0,2,"2,192","2,838",1965,1,B1,0.00,3/3/2022,40.6314135,-73.9106159
7583,3,CANARSIE,02 TWO FAMILY DWELLINGS,1,8032,3,,B3,8017 AVENUE K,,11236,2,0,2,"1,800","2,440",1965,1,B3,0.00,2/14/2022,40.6327355,-73.9092955
7587,3,CANARSIE,02 TWO FAMILY DWELLINGS,1,8048,58,,B9,1142 EAST 83 STREET,,11236,2,0,2,"2,000","2,380",1960,1,B9,830000.00,7/6/2022,40.632728,-73.9067807
7598,3,CANARSIE,02 TWO FAMILY DWELLINGS,1,8053,8,,B3,8703 AVENUE L,,11236,2,0,2,"2,583","1,952",1920,1,B3,0.00,8/12/2022,40.6341903,-73.9027182
7605,3,CANARSIE,02 TWO FAMILY DWELLINGS,1,8062,50,,B9,1218 EAST 84 STREET,,11236,2,0,2,"2,000","2,290",1940,1,B9,775000.00,8/15/2022,40.6319742,-73.9047138
7620,3,CANARSIE,02 TWO FAMILY DWELLINGS,1,8068,46,,B3,1482 REMSEN AVENUE,,11236,2,0,2,"3,000","1,216",1940,1,B3,0.00,8/23/2022,40.6346273,-73.9001919
